ADAT;ANGEWANDTE DATENTECHNIK
ACH;ANGEWANDTE CHEMIE
ACOL;ANGEW.CHEMIE+ÖKÖL.
AET;ALLGEM. ELEKTROT.
AINF;ANGEWANDTE INFORM.
AM;ANGEWANDTE MATHEM.
APH;ANGEWANDTE PHYSIK
APHC;ANGEW.PHYSIK+CHEMI
AUD;AUDIOTECHNIK
AUT;AUTOMAT.TECHNIK
BBB;BAUBETRIEBSLEHRE
BET;BETRIEBSTECHNIK
BGF;BEGABTENFÖRDERUNG
BKT;BAUKONSTRUKTIONSL.
BO;BETRIEBL.ORGANISAT
BP5A;BAUTECHN.PRAKTIKUM
BS;BAUSTILLEHRE
BSYS;BETRIEBSSYSTEME
BT;BAUSTOFFTECHNIK
BTK1;BETRIEBSL/TE.KALK.
BFP3;BETRIEBS/FÜHRUNGSP
BUN;BETRIEBSSYST+NETZW
BZU;BAUZEICHNEN/KÜ
CA3D;COMP.AIDED DES./3D
CCNA;CISCO-NETWORK
CTV3;COMPUTERUNT.TEXTV.
CHOO;ORCHESTERÜBUNGEN
D;DEUTSCH
DUK;DEUTSCH+KOMMUNIK.
DGU;DARST. GEOM. + ÜB.
DG1;DARST. GEOMETRIE
DOKU;DOKUMENTATION
E1;ENGLISCH
E1-T;TECHN. ENGLISCH
EA;ELEKTR.ANLAGEN
EALE;ELEKTR.ANTR+ELEKTR
EANT;ELETR.ANLAGENTECHNIK
EAUA;ELEKTR.ANTR+ANLAGE
EDAD;EL.DATENVERARBEIT.
EDVB;DV-BETRIEBSSYSTEME
EGT;ENERGIETECHNIK
EL;ELEKTRONIK
ELME;MIKROELEKTRONIK
EMAS;ELEKTR. MASCHINEN
EMM;ENERGIEMANAGEM.
EMS;EL. MASCHINEN
EMT;ELEKTR. MEßTECHNIK
ET;ELEKTROTECHNIK
ETE;ELEKTROTECHNIK UND ELEKTRONIK
EZ1;ENTWURFSZEICHNEN
FET;FERTIGUNGSTECHNIK
FHZ;FREIHANDZEICHNEN
FT;FUNKTECHNIK
G;GESCHICHTE
GE;GEOGRAPHIE
GEDV;GRUNDLAGEN DV
GET;GRUNDLAGEN ET
GGBL;GEBÄUDE-GEST-BAUST
GGL;GEBÄUDELEHRE
GMB;GRUNDLAGEN MB
GPB;GESCH./POLIT.BILD.
GSK;GESCH./SOZIALKUNDE
GWK;GEOGRAPHIE
IERT;INDUSTR.ELEKTRONIK
