1;13 Geister;VCD;3;2
2;15 Minutes - Der Tod kommt live…;SVCD;1;2
3;2 Fast 2 Furious;DVD-R;1;2
4;3 Engel für Charlie;SVCD;1;2
5;3 Engel für Charlie II - Volle Power;SVCD;2;2
6;40 Tage und 40 Nächte;SVCD;1;2
7;8 Mile;VCD;3;2
8;A Beautiful Mind;VCD;3;2
9;A.I. - Artificial Intelligence;VCD;2;2
10;Agent Cody Banks;DVD-R;1;1
11;Ali G in da House;SVCD;2;2
12;American History X;SVCD;1;2
13;American Pie;DVD-R;1;1
14;American Pie 2;SVCD;3;2
15;American Pie 3 - Jetzt wird geheiratet;SVCD;3;2
16;Animal - Das Tier im Manne;DVD-R;1;1
17;Arac Attack;VCD;3;2
18;Armageddon;SVCD;1;3
19;Asterix & Obelix gegen Cäsar;SVCD;1;2
20;Atlantis;SVCD;1;2
21;Atompilz von Links;SVCD;2;2
22;Austin Powers 2 - Spion ihn geheimer Missionarsstellung;SVCD;1;2
23;Austin Powers 3 - Goldständer;SVCD;1;2
24;Bad Boys;DVD-R;1;1
25;Bad Boys II;VCD;3;2
26;Big Daddy;SVCD;1;2
27;Big Mama's Haus;DVD-R;1;1
28;Black Hawk Down;SVCD;1;3
29;Blade;DVD-R;1;1
30;Blade II;VCD;3;2
31;Blood in Blood out;DVD-R;1;1
32;Blow;DVD-R;1;1
33;Boat Trip;VCD;3;2
34;Born 2 Die;SVCD;3;2
35;Boyz n the Hood;DVD-R;2;1
36;Bruce Allmächtig;SVCD;3;2
37;Bullyparade;SVCD;1;3
38;Catch me if you can;SVCD;2;3
39;Coyote Ugly;SVCD;1;2
40;Cube;DVD-R;1;1
41;Das Leben des Brian;SVCD;3;2
42;Der blutige Pfad Gottes;SVCD;2;2
43;Der Patriot;DVD-R;1;1
44;Der Schuh des Manitu;SVCD;1;2
45;Der Staatsfeind Nr. 1;SVCD;1;2
46;Der Sturm;DVD-R;1;1
47;Der Überfall;DVD-R;1;1
48;Die Bourne Identität;VCD;2;2
49;Die Letzte Festung;VCD;3;2
50;Die Monster AG.;SVCD;1;2
51;Die Mumie;DVD-R;1;1
52;Die Mumie 2 - Die Mumie kehrt zurück;SVCD;1;2
53;Die Pupurnen Flüsse;SVCD;1;2
54;Die Ritter der Kokosnuss;VCD;3;2
55;Die Wutprobe;VCD;3;2
56;Dogma;SVCD;1;3
57;Driven;SVCD;1;2
58;Ein Königreich für ein Lama;SVCD;1;2
59;Eine wie Keine;DVD-R;1;1
60;Eiskalte Engel;DVD-R;1;1
61;End of Days - Nacht ohne morgen;SVCD;1;2
62;Erkan & Stefan 2 - Gegen die Mächte der Finsternis;SVCD;1;2
63;Es;DVD-R;1;1
64;Ey Mann, wo ist mein Auto?;SVCD;1;2
65;Fight Club;SVCD;1;3
66;Final Destination;DVD-R;1;1
67;Findet Nemo;DVD-R;2;1
68;Fluch der Karibik;SVCD;2;3
69;Full Metal Jacket;DVD-R;1;1
70;Ghost Ship;SVCD;1;2
71;Gladiator;SVCD;1;3
72;Green Mile;DVD-R;1;1
73;Hackers;DVD-R;1;1
74;Hannibal;DVD-R;1;1
75;Harlem, N.Y.C.;DVD-R;1;1
76;Harry Potter - Kammer des Schreckens;SVCD;3;3
77;Head of State;DVD-R;1;1
78;Herr der Ringe I - Die Gefährten;VCD;3;3
79;Herr der Ringe II - Die zwei Türme;SVCD;3;4
80;Herr der Ringe III - Die Rückkehr des Königs;DVD-R;3;1
81;Hollow Man - Unsichtbare Gefahr;S/VCD;1;2
82;I Spy;VCD;3;2
83;Iceage;VCD;2;1
84;Ich, Beide und Sie;DVD-R;1;1
85;Im Zeichen der Libelle;SVCD;1;2
86;Jackass - The Movie;SVCD;4;1
87;James Bond - Die another Day;VCD;5;2
88;James Bond - The World is not enough;DVD-R;1;1
89;John Carpenters Vampire;DVD-R;1;1
90;John Q - Verzweifelte Wut;SVCD;1;2
91;Jurassic Park 3;SVCD;1;2
92;Kill Bill Volume 1;SVCD;3;2
93;Kiss of the Dragon;DVD-R;1;1
94;Knallharte Jungs;SVCD;2;2
95;Little Nicky;VCD;2;1
96;Looney Tunes - Back in Action;DVD-R;3;1
97;M:i 2 - Mission Impossible 2;DVD-R;1;1
98;Matrix;SVCD;1;3
99;Matrix Reloaded;SVCD;3;3
100;Meine Braut, ihr Vater und Ich;SVCD;1;2
101;Men in Black II;VCD;3;2
102;Men of Honor;SVCD;1;3
103;Michael Jackson - History;SVCD;1;2
104;Minority Report;SVCD;2;3
105;Miss Undercover;SVCD;1;2
106;Mr. Deeds;VCD;3;2
107;Mr. Nice Guy;DVD-R;1;1
108;Nicht Auflegen;DVD-R;1;1
109;Not a Girl - Crossroads;VCD;4;2
110;Ocean's Eleven;VCD;5;2
111;Party Animals;SVCD;2;2
112;Password Swordfish;SVCD;1;2
113;Paul McCartney - Get Back;SVCD;1;2
114;Payback - Zahltag;SVCD;1;2
